%time,field
1559775764144923925,522.460315376
1559775764145395040,522.465260358
1559775764147310972,522.486248185
1559775764149261951,522.502674625
1559775764150975942,522.500172287
1559775764153512954,522.4931754
1559775764155601978,522.494371697
1559775764155953884,522.51133376
1559775764159742116,522.503527375
1559775764161360979,522.501029063
1559775764163914918,522.497843736
1559775764165189981,522.51862414
1559775764165589094,522.520176993
1559775764167396068,522.531828154
1559775764169440984,522.532141102
1559775764171255111,522.536285442
1559775764173228025,522.558314259
1559775764175472974,522.55838348
1559775764175899028,522.55771725
1559775764177408933,522.557424411
1559775764179902076,522.575359147
1559775764181212902,522.59224851
1559775764183430910,522.584600071
1559775764185156106,522.594243768
1559775764187114000,522.599995081
1559775764189055919,522.598488945
1559775764191181898,522.605203008
1559775764193614959,522.604524813
1559775764195944070,522.622571922
1559775764196712970,522.619033028
1559775764197416067,522.623970586
1559775764199176073,522.614645335
1559775764201251983,522.610193201
1559775764203036069,522.615368979
1559775764205369949,522.610773228
1559775764205688953,522.607847056
1559775764207302093,522.605950777
1559775764209388971,522.615697559
1559775764211155891,522.60306744
1559775764213335037,522.602178575
1559775764215445041,522.604882347
1559775764215830087,522.602399497
1559775764217089891,522.610915119
1559775764219094991,522.602008644
1559775764221044063,522.6137518
1559775764223010063,522.615044653
1559775764225703001,522.617456309
1559775764226064920,522.614339944
1559775764227258920,522.622030517
1559775764229528903,522.620916772
1559775764233310937,522.620804599
1559775764235189914,522.607724815
1559775764237137079,522.61002124
1559775764239197969,522.590344875
1559775764241234064,522.577915899
1559775764243168115,522.565424702
1559775764245362043,522.572000574
1559775764245659112,522.570648324
1559775764247502088,522.580059183
1559775764249269962,522.582092982
1559775764251307964,522.570213348
1559775764255383014,522.558084098
1559775764257389068,522.568275701
1559775764259192943,522.570721447
1559775764261308908,522.569623408
1559775764263075113,522.568323971
1559775764265342950,522.567237648
1559775764267611026,522.585180683
1559775764269484043,522.575857472
1559775764271251916,522.581783449
1559775764273191928,522.57646881
1559775764275285005,522.575230532
1559775764277264118,522.581117923
1559775764279130935,522.579482286
1559775764281234025,522.592970654
1559775764283168077,522.590977496
1559775764285394906,522.593229975
1559775764287327051,522.594902284
1559775764289299011,522.592855411
1559775764291527986,522.591311724
1559775764293071985,522.596664209
1559775764294945955,522.576552936
1559775764295387029,522.574280955
1559775764297595977,522.558808323
1559775764298980951,522.557714721
1559775764301090955,522.546248619
1559775764302983045,522.545289479
1559775764305413961,522.558770504
1559775764306015014,522.556887767
1559775764307274103,522.56273093
1559775764309042930,522.575151333
1559775764311327934,522.566881648
1559775764313044071,522.565534399
1559775764314987897,522.554009028
1559775764315423011,522.552420316
1559775764317075014,522.554743925
1559775764319015979,522.550493743
1559775764323621988,522.545704018
1559775764325258016,522.544855591
1559775764325539112,522.54371893
1559775764327100992,522.536262755
1559775764329538106,522.535350761
1559775764331321954,522.531400427
1559775764333296060,522.510932196
1559775764335448026,522.506901267
1559775764335767030,522.506914016
1559775764337296009,522.510328607
1559775764339581012,522.50304336
1559775764341217041,522.496681837
1559775764343051910,522.483992256
1559775764345304012,522.466992238
1559775764345746994,522.468267241
1559775764347182989,522.462941304
1559775764351295948,522.454769601
1559775764353583097,522.458448002
1559775764355571031,522.458430295
1559775764357234001,522.466884261
1559775764359627962,522.474045877
1559775764361174106,522.48556634
1559775764363270044,522.492606952
1559775764365314960,522.499742503
1559775764365839004,522.499904107
1559775764366997003,522.493557109
1559775764369307041,522.472556285
1559775764371344089,522.473837474
1559775764373152971,522.485285458
1559775764375236034,522.488881295
1559775764375606060,522.489260407
1559775764377155065,522.503410524
1559775764379075050,522.510452936
1559775764381256103,522.523748607
1559775764383169889,522.520303465
1559775764385638952,522.519051273
1559775764386049032,522.512696808
1559775764387221097,522.509581076
1559775764389564990,522.506075545
1559775764391330003,522.499802386
1559775764395415067,522.502343347
1559775764395842075,522.502074844
1559775764397299051,522.49912389
1559775764399297952,522.492166229
1559775764401248931,522.488792339
1559775764404211997,522.478178639
1559775764405277013,522.486639315
1559775764405626058,522.486734688
1559775764407035112,522.473896969
1559775764409491062,522.474372397
1559775764411242008,522.485627343
1559775764413198947,522.486672263
1559775764415348052,522.472733379
1559775764415828943,522.47312852
1559775764417231082,522.460695948
1559775764419850111,522.471990447
1559775764421194076,522.483832002
1559775764423255920,522.477269359
1559775764425446987,522.481539352
1559775764425967931,522.48180575
1559775764427088022,522.486473051
1559775764429186105,522.472903657
1559775764431371927,522.47727657
1559775764435343027,522.476819292
1559775764435655117,522.477072491
1559775764437489986,522.463722357
1559775764439574956,522.468635649
1559775764441402912,522.455580352
1559775764443200111,522.457715249
1559775764445430994,522.456485411
1559775764445812940,522.463159224
1559775764447664976,522.447215753
1559775764449193954,522.43895575
1559775764451385021,522.447589667
1559775764453516960,522.452674834
1559775764455926895,522.446708345
1559775764457334995,522.449181431
1559775764461528062,522.456937061
1559775764463280916,522.463205286
1559775764465384960,522.484303262
1559775764467264890,522.497356145
1559775764469176054,522.490882684
1559775764471328020,522.488125389
1559775764473332881,522.48573054
1559775764475651025,522.48691685
1559775764477137088,522.477021619
1559775764479288101,522.48223287
1559775764483123064,522.47928472
1559775764485518932,522.476718825
1559775764487636089,522.478288481
1559775764489368915,522.468099791
1559775764491374969,522.453587091
1559775764494294881,522.464263279
1559775764496577978,522.463897979
1559775764497795104,522.454121048
1559775764498785972,522.484755588
1559775764500060081,522.490381329
1559775764501734972,522.503442427
1559775764505387067,522.504679217
1559775764506252050,522.49023856
1559775764507675886,522.491689419
1559775764509794950,522.493025191
1559775764511617898,522.498222236
1559775764513751983,522.50334533
1559775764515995025,522.512361877
1559775764517539024,522.49401669
1559775764520112991,522.503184995
1559775764521739006,522.50046008
1559775764523426055,522.505583074
1559775764525599956,522.487104962
1559775764527228116,522.480948979
1559775764529257059,522.494187827
1559775764531316041,522.511086512
1559775764533333063,522.51966384
1559775764535341024,522.516763259
1559775764537139892,522.532802181
1559775764539434909,522.533573372
1559775764541445016,522.530384697
1559775764543786048,522.515218547
1559775764545455932,522.523884376
1559775764547276020,522.520527695
1559775764549875020,522.529359196
1559775764553625106,522.526842526
1559775764555327892,522.526292952
1559775764555681943,522.522254537
1559775764557394027,522.53077229
1559775764559293985,522.542795947
1559775764561358928,522.535391081
1559775764563443899,522.548087428
1559775764565346002,522.547821918
1559775764567372083,522.548231863
1559775764569247961,522.555876633
1559775764572067022,522.540141829
1559775764575428962,522.524540181
1559775764577940940,522.529525413
1559775764579039096,522.546296152
1559775764581764936,522.559149872
1559775764583570957,522.563455735
1559775764585103988,522.558455543
1559775764585422039,522.556844157
1559775764587235927,522.556199448
1559775764589253902,522.556306653
1559775764591490030,522.548213543
1559775764593133926,522.539776174
1559775764595221042,522.536060053
1559775764595612049,522.534987626
1559775764596961021,522.531046854
1559775764599416017,522.527560587
1559775764601449012,522.536125436
1559775764603445053,522.532428478
1559775764605093002,522.524482032
1559775764605670928,522.523634306
1559775764607539892,522.531613677
1559775764609405040,522.535460683
1559775764611764907,522.535815596
1559775764613384962,522.539529211
1559775764615762948,522.547497605
1559775764617502927,522.54327951
1559775764619398117,522.539244089
1559775764621416091,522.531946047
1559775764623311042,522.539427642
1559775764625206947,522.539222425
1559775764625669956,522.53806699
1559775764627578020,522.537886458
1559775764629388093,522.520163299
